antibody_id,vh_length,vl_length,chain_length_ratio,vh_aa_A,vh_aa_C,vh_aa_D,vh_aa_E,vh_aa_F,vh_aa_G,vh_aa_H,vh_aa_I,vh_aa_K,vh_aa_L,vh_aa_M,vh_aa_N,vh_aa_P,vh_aa_Q,vh_aa_R,vh_aa_S,vh_aa_T,vh_aa_V,vh_aa_W,vh_aa_Y,vl_aa_A,vl_aa_C,vl_aa_D,vl_aa_E,vl_aa_F,vl_aa_G,vl_aa_H,vl_aa_I,vl_aa_K,vl_aa_L,vl_aa_M,vl_aa_N,vl_aa_P,vl_aa_Q,vl_aa_R,vl_aa_S,vl_aa_T,vl_aa_V,vl_aa_W,vl_aa_Y
GDPa1-001,119,107,1.1121495327102804,0.10084033613445378,0.01680672268907563,0.03361344537815126,0.03361344537815126,0.025210084033613446,0.11764705882352941,0.008403361344537815,0.01680672268907563,0.06722689075630252,0.058823529411764705,0.01680672268907563,0.025210084033613446,0.025210084033613446,0.058823529411764705,0.03361344537815126,0.1092436974789916,0.08403361344537816,0.05042016806722689,0.04201680672268908,0.07563025210084033,0.056074766355140186,0.018691588785046728,0.018691588785046728,0.04672897196261682,0.037383177570093455,0.11214953271028037,0.037383177570093455,0.06542056074766354,0.06542056074766354,0.09345794392523364,0.0,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.1308411214953271,0.07476635514018691,0.037383177570093455,0.009345794392523364,0.056074766355140186
GDPa1-002,118,107,1.102803738317757,0.07627118644067797,0.01694915254237288,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.1016949152542373,0.00847457627118644,0.025423728813559324,0.03389830508474576,0.05084745762711865,0.03389830508474576,0.01694915254237288,0.025423728813559324,0.059322033898305086,0.0423728813559322,0.1271186440677966,0.1016949152542373,0.059322033898305086,0.03389830508474576,0.06779661016949153,0.04672897196261682,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.009345794392523364,0.07476635514018691,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.14018691588785046,0.102803738317757,0.037383177570093455,0.009345794392523364,0.07476635514018691
GDPa1-003,120,107,1.1214953271028036,0.041666666666666664,0.016666666666666666,0.06666666666666667,0.025,0.025,0.06666666666666667,0.008333333333333333,0.025,0.041666666666666664,0.09166666666666666,0.03333333333333333,0.025,0.041666666666666664,0.041666666666666664,0.03333333333333333,0.1,0.14166666666666666,0.1,0.03333333333333333,0.041666666666666664,0.04672897196261682,0.018691588785046728,0.056074766355140186,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.009345794392523364,0.056074766355140186,0.04672897196261682,0.08411214953271028,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186
GDPa1-004,118,107,1.102803738317757,0.059322033898305086,0.01694915254237288,0.059322033898305086,0.05084745762711865,0.025423728813559324,0.1016949152542373,0.00847457627118644,0.01694915254237288,0.059322033898305086,0.059322033898305086,0.025423728813559324,0.0,0.03389830508474576,0.06779661016949153,0.01694915254237288,0.13559322033898305,0.09322033898305085,0.09322033898305085,0.03389830508474576,0.0423728813559322,0.06542056074766354,0.018691588785046728,0.037383177570093455,0.028037383177570093,0.04672897196261682,0.09345794392523364,0.0,0.056074766355140186,0.04672897196261682,0.056074766355140186,0.009345794392523364,0.028037383177570093,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.1588785046728972,0.07476635514018691,0.04672897196261682,0.028037383177570093,0.037383177570093455
GDPa1-005,121,107,1.1308411214953271,0.09090909090909091,0.01652892561983471,0.05785123966942149,0.04132231404958678,0.024793388429752067,0.09090909090909091,0.01652892561983471,0.024793388429752067,0.024793388429752067,0.09090909090909091,0.01652892561983471,0.03305785123966942,0.01652892561983471,0.04132231404958678,0.049586776859504134,0.1322314049586777,0.05785123966942149,0.08264462809917356,0.03305785123966942,0.05785123966942149,0.07476635514018691,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.018691588785046728,0.056074766355140186,0.08411214953271028,0.056074766355140186,0.1308411214953271,0.09345794392523364,0.04672897196261682,0.009345794392523364,0.06542056074766354
GDPa1-006,124,107,1.158878504672897,0.07258064516129033,0.016129032258064516,0.04838709677419355,0.024193548387096774,0.03225806451612903,0.12096774193548387,0.008064516129032258,0.024193548387096774,0.04838709677419355,0.056451612903225805,0.024193548387096774,0.024193548387096774,0.024193548387096774,0.04032258064516129,0.08064516129032258,0.08870967741935484,0.07258064516129033,0.0967741935483871,0.03225806451612903,0.06451612903225806,0.056074766355140186,0.018691588785046728,0.037383177570093455,0.018691588785046728,0.037383177570093455,0.08411214953271028,0.0,0.056074766355140186,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.009345794392523364,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.18691588785046728,0.09345794392523364,0.037383177570093455,0.009345794392523364,0.056074766355140186
GDPa1-007,121,107,1.1308411214953271,0.05785123966942149,0.01652892561983471,0.04132231404958678,0.03305785123966942,0.049586776859504134,0.09090909090909091,0.008264462809917356,0.01652892561983471,0.03305785123966942,0.0743801652892562,0.01652892561983471,0.024793388429752067,0.049586776859504134,0.05785123966942149,0.05785123966942149,0.09917355371900827,0.10743801652892562,0.09090909090909091,0.024793388429752067,0.049586776859504134,0.037383177570093455,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.037383177570093455,0.07476635514018691,0.009345794392523364,0.07476635514018691,0.06542056074766354,0.06542056074766354,0.009345794392523364,0.04672897196261682,0.056074766355140186,0.08411214953271028,0.037383177570093455,0.12149532710280374,0.102803738317757,0.037383177570093455,0.009345794392523364,0.04672897196261682
GDPa1-010,115,107,1.074766355140187,0.02608695652173913,0.017391304347826087,0.034782608695652174,0.034782608695652174,0.017391304347826087,0.10434782608695652,0.008695652173913044,0.02608695652173913,0.05217391304347826,0.10434782608695652,0.02608695652173913,0.034782608695652174,0.034782608695652174,0.043478260869565216,0.02608695652173913,0.11304347826086956,0.10434782608695652,0.0782608695652174,0.034782608695652174,0.0782608695652174,0.056074766355140186,0.018691588785046728,0.056074766355140186,0.018691588785046728,0.028037383177570093,0.08411214953271028,0.009345794392523364,0.056074766355140186,0.056074766355140186,0.04672897196261682,0.009345794392523364,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.037383177570093455,0.1308411214953271,0.102803738317757,0.07476635514018691,0.009345794392523364,0.06542056074766354
GDPa1-011,120,111,1.0810810810810811,0.058333333333333334,0.016666666666666666,0.041666666666666664,0.03333333333333333,0.016666666666666666,0.13333333333333333,0.0,0.05,0.058333333333333334,0.058333333333333334,0.025,0.0,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.14166666666666666,0.06666666666666667,0.058333333333333334,0.041666666666666664,0.06666666666666667,0.06306306306306306,0.018018018018018018,0.04504504504504504,0.02702702702702703,0.018018018018018018,0.12612612612612611,0.009009009009009009,0.06306306306306306,0.036036036036036036,0.05405405405405406,0.009009009009009009,0.04504504504504504,0.05405405405405406,0.04504504504504504,0.018018018018018018,0.17117117117117117,0.08108108108108109,0.05405405405405406,0.009009009009009009,0.05405405405405406
GDPa1-014,118,107,1.102803738317757,0.0847457627118644,0.01694915254237288,0.0423728813559322,0.03389830508474576,0.03389830508474576,0.1271186440677966,0.01694915254237288,0.025423728813559324,0.025423728813559324,0.06779661016949153,0.00847457627118644,0.01694915254237288,0.03389830508474576,0.0423728813559322,0.05084745762711865,0.11864406779661017,0.06779661016949153,0.07627118644067797,0.05084745762711865,0.059322033898305086,0.07476635514018691,0.018691588785046728,0.04672897196261682,0.018691588785046728,0.04672897196261682,0.07476635514018691,0.009345794392523364,0.04672897196261682,0.04672897196261682,0.06542056074766354,0.009345794392523364,0.0,0.056074766355140186,0.08411214953271028,0.028037383177570093,0.14953271028037382,0.09345794392523364,0.056074766355140186,0.009345794392523364,0.06542056074766354
